Dataset,accuracy_with_anomalies_CENDO_FM,accuracy_with_anomalies_ENDO_FM,accuracy_with_anomalies_RES_NET_101,nmi_with_anomalies_CENDO_FM,nmi_with_anomalies_ENDO_FM,nmi_with_anomalies_RES_NET_101,ari_with_anomalies_CENDO_FM,ari_with_anomalies_ENDO_FM,ari_with_anomalies_RES_NET_101,Sigma_CENDO_FM,Sigma_ENDO_FM,Sigma_RES_NET_101,minCL_CENDO_FM,minCL_ENDO_FM,minCL_RES_NET_101
ncm_1,0.7821189721928898,0.8697641675466385,0.6941217881027807,0.4014037193668092,0.7209896838342879,0.0,0.4148221786517082,0.6290848254405619,0.0,Sigma0,Sigma1,Sigma0,100,100,100
ncm_10,0.8073908174692049,0.7726763717805151,0.8230683090705487,0.5172364556678469,0.6031430011733518,0.6457043430258487,0.5007715206177508,0.5404458350013448,0.5726293805166709,Sigma0,Sigma2,Sigma2,100,100,100
ncm_11,0.9816681943171404,0.9993889398105712,0.8927589367552704,0.7676702479016323,0.8213851726999768,0.7438654562921427,0.6884012559682978,0.7322619824471115,0.7569989875382587,Sigma5,Sigma4,Sigma4,100,100,100
ncm_12,0.668044890726521,0.8945658594211459,0.7578263437684584,0.3731302494300347,0.6962374352065381,0.4632945529256625,0.2440427223325493,0.6950226402920144,0.3997047296603839,Sigma5,Sigma1,Sigma2,100,100,100
ncm_2,0.9338338808071328,0.8446738620366026,0.8761145002346317,0.8583034472686014,0.7097085270412022,0.7334381106957216,0.801236646547547,0.6986270680012201,0.7155733212115265,Sigma5,Sigma5,Sigma4,100,100,100
ncm_3,0.9026437263953,0.7381451951321863,0.8161980696600923,0.7388466568647412,0.689627339760634,0.6222029887348257,0.7489820541928535,0.541488397277695,0.5666316655448003,Sigma5,Sigma5,Sigma3,100,100,100
ncm_4,0.9073059360730592,0.8410958904109589,0.8415525114155251,0.7101525946015679,0.8161036368058622,0.8204283477194712,0.7630298832830111,0.7967274025890625,0.7985567182091878,Sigma0,Sigma3,Sigma1,100,100,100
ncm_5,0.9217081850533808,0.868920521945433,0.909252669039146,0.7564780454585693,0.7585182834745428,0.7552323770820617,0.7776843691843734,0.6736298463231658,0.7560023985587927,Sigma0,Sigma3,Sigma1,100,100,100
ncm_6,0.8074074074074075,0.7574074074074074,0.8002314814814815,0.7621840622831353,0.6951524056925111,0.6953149957637003,0.7296900721541091,0.5313305818092344,0.5177175497970732,Sigma5,Sigma3,Sigma2,100,100,100
ncm_7,0.7385337667027808,0.8125677139761647,0.7963163596966414,0.3353976574952633,0.674551979439455,0.585150078325644,0.291578331438912,0.7158618022600985,0.6066213014635338,Sigma3,Sigma2,Sigma1,100,100,100
ncm_8,0.8794093519278097,0.7637407711238721,0.793273174733388,0.7283232997362739,0.52124854848486,0.5881271681137177,0.6439721642585171,0.3889179334877727,0.5245495234472313,Sigma5,Sigma4,Sigma2,100,100,100
ncm_9,1.0,1.0,0.8048876625936146,1.0,1.0,0.0,1.0,1.0,0.0,Sigma2,Sigma1,Sigma0,100,100,100
ncm_rmv_1,0.8314806580702534,0.7025344597598933,0.8670520231213873,0.8264248459607922,0.7585018831127909,0.821790106332228,0.7513704945610088,0.6209303072893632,0.715830111325683,Sigma5,Sigma5,Sigma1,100,100,100
ncm_rmv_2,0.7171495956873315,0.8244609164420486,0.6893530997304582,0.7486441966836047,0.8339919146940137,0.658060983346678,0.6612219813934693,0.8176506448275273,0.5143835250108938,Sigma4,Sigma1,Sigma4,100,100,100
ncm_rmv_3,0.7755653054336821,0.6361795477556531,0.8204522443469456,0.6550882645572624,0.5945101668271386,0.7414424182970331,0.5995337489772399,0.4206080231452074,0.6834466782103967,Sigma3,Sigma5,Sigma1,100,100,100
ncm_rmv_4,0.6018064009424701,0.7107795012762615,0.6850579226389162,0.4860855167987396,0.6967661561005922,0.7143861197710352,0.3493157151968287,0.6278632418214475,0.5755242486633438,Sigma5,Sigma1,Sigma4,100,100,100
